estId,estSITPNumber,estNombre,estDireccion,estLink,estlongtitude,estlatitude
4679,334A04,Ciudad Bachué I Etapa,KR 95G - CL 88,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4679,"-74,104432","4,716306"
4027,247A04,Bochica Compartir,DG 86A - KR 101,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4027,"-74,107715","4,716961"
3520,150A04,Br. Bolivia Oriental,DG 86A - KR 103C,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3520,"-74,108695","4,718998"
4028,332A04,Ciudadela Colsubsidio,DG 86A - KR 111A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4028,"-74,113054","4,722662"
6151,262A04,Ciudadela Colsubsidio,CL 86A - KR 112F,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=6151,"-74,113302","4,725063"
4236,136A04,Br. Altos del Zuque,DG 89B - KR 115A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4236,"-74,114291","4,729108"
4226,134A04,Urb. Continental,KR 116A - CL 83A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4226,"-74,117692","4,728051"
2871,133A04,Urb. Quintas de Santa Bárbara,KR 116A - CL 81,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2871,"-74,120537","4,726289"
3115,244A04,Urb. Parque Los Sauces,CL 81 - KR 115,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3115,"-74,120869","4,724735"
2474,038A04,Avenida El Cortijo,AK 114 - AC 80,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2474,"-74,120286","4,72245"
2334,429A04,Br. Villas de Granada,KR 113 - CL 78,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2334,"-74,123174","4,718757"
2449,436A04,Br. Bosques de Granada,KR 113 - CL 75,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2449,,
2450,437A04,Br. Bosques de Granada,KR 113 - CL 72F,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2450,,
2335,091A04,Salón Comunal La Perla,CL 72F - KR 111C,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=2335,"-74,126347","4,713726"
4013,166A04,Br. Garcés Navas Sur,CL 73 - KR 110B,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4013,"-74,125166","4,712751"
3176,036A04,Gimnasio Moderno Montesoriano,KR 110 - CL 75B,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3176,"-74,12269","4,712785"
3177,034A04,Br. Garcés Navas,KR 110 - CL 77A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3177,"-74,120701","4,714365"
3178,176A04,Gimnasio Nueva Sociedad,CL 78B - KR 109A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3178,"-74,119483","4,714998"
3621,170A04,Br. Garcés Navas,KR 107 - CL 78,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3621,"-74,118481","4,71342"
3620,406A00,Br. Garcés Navas,KR 107 - CL 76,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=3620,"-74,120019","4,711319"
4998,168A04,Br. Moralva,TV 106 - CL 73,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=4998,"-74,121107","4,709299"
1947,311A05,Pq. Público Bosques de Mariana,KR 106A - CL 71A,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1947,"-74,122845","4,707528"
1948,262A05,Colegio Endrich,KR 106A - CL 70B,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1948,"-74,123792","4,705505"
1949,261A05,Br. Bolivia,CL 70 - KR 107A Bis,http://www.sitp.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=1949,"-74,125214","4,705118"
